N= 10, <R2>=  10.17, delta= 0.10, error= 1.0%
N= 20, <R2>=  20.05, delta= 0.19, error= 1.0%
N= 30, <R2>=  29.50, delta= 0.29, error= 1.0%
N= 40, <R2>=  39.81, delta= 0.39, error= 1.0%
N= 50, <R2>=  50.76, delta= 0.50, error= 1.0%
N= 60, <R2>=  59.59, delta= 0.60, error= 1.0%
N= 70, <R2>=  69.64, delta= 0.69, error= 1.0%
N= 80, <R2>=  80.31, delta= 0.81, error= 1.0%
N= 90, <R2>=  90.25, delta= 0.90, error= 1.0%
N=100, <R2>=  98.89, delta= 0.99, error= 1.0%
